prgId,menu_label,menuSeq
E072501,게시판,MENUTREE_002087
E074500,Projects,MENUTREE_002649
E075501,고객관리게시판,MENUTREE_002289
E077000,All Folders,MENUTREE_001973
E077001,Inbox,MENUTREE_001974
E077002,Sent Mail,MENUTREE_001975
E077003,Read Receipt Status,MENUTREE_001976
E077004,Temporary Storage Box (SB),MENUTREE_001977
E077005,Spam Folder,MENUTREE_001978
E077006,Deleted Folder,MENUTREE_001979
E077007,Compose,MENUTREE_001981
E077008,Default Folders,MENUTREE_001982
E077100,ECDrive,MENUTREE_002714
E090101,Register Employee,MENUTREE_000760
E090102,Approval Line for Print (Manage),MENUTREE_000765
E090103,Earnings,MENUTREE_000763
E090104,Earnings/Deductions Groups,MENUTREE_000764
E090106,Payroll Book,MENUTREE_000767
E090110,Search Payroll by Employee,MENUTREE_000771
E090114,Deductions,MENUTREE_001949
E090115,Payroll Status,MENUTREE_001950
E090116,Confirm Work Status,MENUTREE_001951
